;0;1;2;3;4;5;6;7
0;$105,000per year;Phoenix, AZ, US;Senior Architect;Jul '22;16-20 Years of Experience;36-40 Years old;33.4484367;-112.074141
1;$92,000per year;Los Angeles, CA, US;Intermediate Designer;Jul '22;3-5 Years of Experience;26-30 Years old;34.0536909;-118.242766
2;$150,000per year;New York, NY, US;Associate;Jul '22;8-10 Years of Experience;31-35 Years old;40.7127281;-74.0060152
3;$20per hour;Boston, MA, US;Intern;Jul '22;1 Years of Experience;21-25 Years old;42.3554334;-71.060511
4;$65,000per year;Boston, MA, US;Designer;Jul '22;3 Years of Experience;21-25 Years old;42.3554334;-71.060511
5;$40per hour;Los Angeles, CA, US;Designer;Jul '22;2 Years of Experience;21-25 Years old;34.0536909;-118.242766
6;$65,000per year;Philadelphia, PA, US;Junior Architect;Jun '22;3-5 Years of Experience;26-30 Years old;39.9527237;-75.1635262
7;$96,500per year;Oakland, CA, US;Project Manager;Jun '22;8-10 Years of Experience;31-35 Years old;37.8044557;-122.2713563
8;AUD$128per year;Melbourne, AU;Senior Architect;Jun '22;11-15 Years of Experience;31-35 Years old;-37.8142176;144.9631608
9;AUD$60,000per year;Sydney, AU;Designer;Jun '22;3 Years of Experience;26-30 Years old;-33.8698439;151.2082848
10;AUD$75,000per year;Brisbane, AU;Intermediate Designer;Jun '22;3-5 Years of Experience;26-30 Years old;-27.4689682;153.0234991
11;$72,000per year;San Antonio, TX, US;Intermediate Architect;Jun '22;8-10 Years of Experience;26-30 Years old;29.4246002;-98.4951405
12;$65,000per year;San Francisco, CA, US;Designer;Jun '22;1 Years of Experience;21-25 Years old;37.7790262;-122.419906
13;$55,000per year;Chicago, IL, US;Designer;Jun '22;< 1 Years of Experience;21-25 Years old;41.8755616;-87.6244212
14;$120,000per year;San Francisco, CA, US;Senior Designer;Jun '22;11-15 Years of Experience;31-35 Years old;37.7790262;-122.419906
15;$20per hour;New York, NY, US;Intern;Jun '22;1 Years of Experience;21-25 Years old;40.7127281;-74.0060152
16;$0per year;Houston, TX, US;Intern;Jun '22;< 1 Years of Experience;21-25 Years old;29.7589382;-95.3676974
17;$100,000per year;Brooklyn, NY, US;Project Manager;Jun '22;8-10 Years of Experience;31-35 Years old;40.6526006;-73.9497211
18;$85,000per year;Los Angeles, CA, US;Designer;Jun '22;3-5 Years of Experience;26-30 Years old;34.0536909;-118.242766
19;$65,000per year;Massachusetts, US;Designer;Jun '22;1 Years of Experience;21-25 Years old;42.3788774;-72.032366
20;$77,500per year;Los Angeles, CA, US;Designer;Jun '22;6-7 Years of Experience;31-35 Years old;34.0536909;-118.242766
21;$69,000per year;Boston, MA, US;Project Architect;Jun '22;6-7 Years of Experience;26-30 Years old;42.3554334;-71.060511
22;$72,800per year;New Haven, CT, US;Associate;Jun '22;6-7 Years of Experience;31-35 Years old;41.3082138;-72.9250518
23;$65,000per year;Los Angeles, CA, US;Associate;Jun '22;< 1 Years of Experience;21-25 Years old;34.0536909;-118.242766
24;CAD$74,000per year;Kitchener, ON, CA;Project Architect;Jun '22;3-5 Years of Experience;36-40 Years old;43.451291;-80.4927815
25;$22per hour;New Brunswick, NJ, US;Intern;Jun '22;< 1 Years of Experience;18-20 Years old;40.4862174;-74.4518173
26;CAD$55,000per year;Fogo, NL, CA;Draftsperson;Jun '22;3 Years of Experience;21-25 Years old;49.715601;-54.283447
27;$55,000per year;New York, NY, US;Junior Architect;Jun '22;< 1 Years of Experience;31-35 Years old;40.7127281;-74.0060152
28;€50,000per year;France;Senior Architect;Jun '22;11-15 Years of Experience;41-45 Years old;46.603354;1.8883335
29;$51,418per year;Chicago, IL, US;Associate;Jun '22;8-10 Years of Experience;31-35 Years old;41.8755616;-87.6244212
30;$90,000per year;Dallas, TX, US;Project Manager;Jun '22;26-30 Years of Experience;56-60 Years old;32.7762719;-96.7968559
31;€15per hour;Den Haag, NL;Junior Designer;Jun '22;< 1 Years of Experience;21-25 Years old;52.0799838;4.3113461
32;AUD$134,000per year;Ho Chi Minh City, VN;Associate;Jun '22;8-10 Years of Experience;41-45 Years old;10.7758439;106.7017555
33;$62,400per year;Los Angeles, CA, US;Designer;Jun '22;3-5 Years of Experience;31-35 Years old;34.0536909;-118.242766
